Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core:Source,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Tazewell, TN by Carson Miracle",464,http://mappalachia.org/pictures/gallery/full_size/map_464.jpg,Carson Miracle,1958,Claiborne,"Tazewell, TN",Berea College Special Collections and Archives,Rights Reserved by: Carson Miracle,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.45425,-83.569352,10,,
"Huntsville, TN by Judith Ann Sharp",465,http://mappalachia.org/pictures/gallery/full_size/map_465.jpg,Judith Ann Sharp,1958,Scott,"Huntsville, TN",Berea College Special Collections and Archives,Rights Reserved by: Judith Ann Sharp,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.409801,-84.4904939,10,,
"Wheeler, KY by Linda Wheeler",466,http://mappalachia.org/pictures/gallery/full_size/map_466.jpg,Linda Wheeler,1958,Knox,"Wheeler, KY",Berea College Special Collections and Archives,Rights Reserved by: Linda Wheeler,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7253625,-83.8429778,10,,
"Barbourville, KY by Julie Caleebs",467,http://mappalachia.org/pictures/gallery/full_size/map_467.jpg,Julie Caleebs,1969,Knox,"Barbourville, KY",Berea College Special Collections and Archives,Rights Reserved by: Julie Caleebs,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8664765,-83.8888138,10,,
"Harlan, KY by Mary Alice",468,http://mappalachia.org/pictures/gallery/full_size/map_468.jpg,Mary Alice,1958,,"Harlan, KY",Berea College Special Collections and Archives,Rights Reserved by: Mary Alice,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8431441,-83.321848,10,,
"Asheville, NC by Leonard Maigar",469,http://mappalachia.org/pictures/gallery/full_size/map_469.jpg,Leonard Maigar,1969,Buncombe,"Asheville, NC",Berea College Special Collections and Archives,Rights Reserved by: Leonard Maigar,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,
"Union, WV by Roxie Wickline",470,http://mappalachia.org/pictures/gallery/full_size/map_470.jpg,Roxie Wickline,1958,McDowell,"Union, WV",Berea College Special Collections and Archives,Rights Reserved by: Roxie Wickline,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3860467,-81.647344,10,,
"Birchleaf, VA by Melani Colley",471,http://mappalachia.org/pictures/gallery/full_size/map_471.jpg,Melani Colley,1969,Dickenson,"Birchleaf, VA",Berea College Special Collections and Archives,Rights Reserved by: Melani Colley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1773311,-82.2720868,10,,
", NC by Sybil Gregory",472,http://mappalachia.org/pictures/gallery/full_size/map_472.jpg,Sybil Gregory,1958,,", NC",Berea College Special Collections and Archives,Rights Reserved by: Sybil Gregory,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7595731,-79.0192997,10,,
"Kopperston, WV by Pamela Baldwin",473,http://mappalachia.org/pictures/gallery/full_size/map_473.jpg,Pamela Baldwin,1969,Wyoming,"Kopperston, WV",Berea College Special Collections and Archives,Rights Reserved by: Pamela Baldwin,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7484443,-81.5695525,10,,
"Jamestown, KY by Vernon York",474,http://mappalachia.org/pictures/gallery/full_size/map_474.jpg,Vernon York,1958,Russell,"Jamestown, KY",Berea College Special Collections and Archives,Rights Reserved by: Vernon York,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9847899,-85.06301,10,,
", KY by Walter Ward Jr.",475,http://mappalachia.org/pictures/gallery/full_size/map_475.jpg,Walter Ward Jr.,1958,,", KY",Berea College Special Collections and Archives,Rights Reserved by: Walter Ward Jr.,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,
