Title,Identifier,Creator,Date,Subject,Source,Rights,Format,Language,Type,Coverage,,Image
map_246,246,James C. Owens,1963,"Prater, VA",Berea College Special Collections and Archives,Rights Reserved by: James C. Owens,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_247,247,,0,"Holden, VA",Berea College Special Collections and Archives,Rights Reserved by: ,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_248,248,Jim Lawson,0,"Exeter, VA",Berea College Special Collections and Archives,Rights Reserved by: Jim Lawson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_249,249,Jim O\'Bryan,0,"London, KY",Berea College Special Collections and Archives,Rights Reserved by: Jim O\'Bryan,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_250,250,Joan Williams,0,"Springfield, OH",Berea College Special Collections and Archives,Rights Reserved by: Joan Williams,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_251,251,Joyce Cooper,0,"Pine Knot, KY",Berea College Special Collections and Archives,Rights Reserved by: Joyce Cooper,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_252,252,,0,"Lancaster, KY",Berea College Special Collections and Archives,Rights Reserved by: ,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_253,253,Larry Carroll,0,"Grahn, KY",Berea College Special Collections and Archives,Rights Reserved by: Larry Carroll,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_254,254,Larry Sweeney,0,"Beckley, KY",Berea College Special Collections and Archives,Rights Reserved by: Larry Sweeney,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_255,255,Linda Farley,0,"Beckley, WV",Berea College Special Collections and Archives,Rights Reserved by: Linda Farley,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_256,256,Linda Wilburn,0,"Lenoir, TN",Berea College Special Collections and Archives,Rights Reserved by: Linda Wilburn,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
